0\0.png	招商银行（广州分行）
0\109.png	广东大埔农村商业银行长治分理处
0\110.png	工商银行
0\111.png	南城支行在行自助银行24小时自助银行
0\112.png	化州市盈汇房地产开发有限公司
0\113.png	人民币伍万元正
0\114.png	资金往来
0\115.png	惠东农商银行华侨城分理处
0\116.png	收款行地点广东省化州市/县
0\117.png	(大写)壹仟元整
0\118.png	肇庆农商行
0\119.png	管理费
0\120.png	东华路支行在行自助单点24小时自助银行
0\121.png	莱茵春天离行自助银行24小时自助银行
0\122.png	坂田街道吉华路龙壁工业区22#1层南
0\123.png	广东省广州市/县
0\124.png	广州花都稠州村镇银行马鞍山支行
0\125.png	南海大沥支行在行自助单点24小时自助银行
0\126.png	广东省深圳市/县
0\127.png	清新农商银行
0\128.png	江门农商银行
0\129.png	益田路48号信息枢纽大厦裙楼三楼
0\130.png	龙洞林校离行自助单点24小时自助银行
0\131.png	广东省
0\132.png	塘厦田心市场离行自助单点24小时自助银行
0\133.png	学费
0\134.png	开平市国顺公共交通有限公司
0\135.png	百十
0\136.png	贷款
0\137.png	往来
0\138.png	(大写)贰仟壹佰壹拾叁元肆角正
0\139.png	(大写)肆仟柒佰壹拾贰元贰角正
0\140.png	广东省惠州市/县
0\141.png	塘厦镇138工业区华强三洋生活区
0\142.png	滨江东路金雅苑103-104号
0\143.png	惠东县大岭街道大岭社区居建新经济合作社
0\144.png	深圳市/县
0\145.png	(大写)叁万贰仟贰佰零贰元零陆分
0\146.png	东华大厦离行自助银行24小时自助银行
0\147.png	华厦酒店2离行自助单点24小时自助银行
0\148.png	凤凰支行在行自助银行24小时自助银行
0\149.png	(大写)伍佰叁拾捌元整
0\150.png	胡忠妇产医院离行自助单点24小时自助银行
0\151.png	开平市振熙贸易有限公司
0\152.png	(大写)叁佰陆拾元零捌角正
0\153.png	8.27病人卡充值款
0\154.png	叁佰元整
0\155.png	病人预付款
0\156.png	广东省佛山市/县
0\157.png	丰顺农村商业银行小胜支行
0\158.png	叁万叁仟元整
0\159.png	清远农村商业银行
0\160.png	清远市清新区农村信用合作联社云龙分社
0\161.png	肇庆农商行
0\162.png	新机场支行在行自助银行24小时自助银行
0\163.png	买房
0\164.png	平远县农村信用合作联社跃进岗储蓄所
0\165.png	建行城东支行
0\166.png	农南行东山支行
0\167.png	五华县安流镇完塘经济联合社
0\168.png	汕头市澄海农村信用合作联社槐泽信用分社
0\169.png	珠海舒家商贸有限公司
0\170.png	肇庆农商银行
0\171.png	黄河支行在行自助银行24小时自助银行
0\172.png	(大写)捌仟伍佰捌拾元整
0\173.png	营业额
0\174.png	8月水费
0\175.png	南庄离行自助银行24小时自助银行
0\176.png	石岩街道砖厂村石头山工业区光星厂
0\177.png	往来
0\178.png	安心贷保费
0\179.png	(大写)伍仟零捌拾元正
0\180.png	广东省和平市/县
0\181.png	备注：验表费
0\182.png	江湾离行自助银行离行自助银行24小时自助银行
0\183.png	新湾支行在行自助单点24小时自助银行
0\184.png	广东省东莞市/县
0\185.png	阳江农商银行新洲支行
0\186.png	汕头市澄海农村信用合作联社港口信用分社
0\187.png	江门农商行茶坑支行
0\188.png	湛江农商行
0\189.png	顺德大良支行在行自助银行24小时自助银行
0\190.png	备注：三顷八下围10号鱼塘押金
0\191.png	叁万肆仟零贰拾元正
0\192.png	吴川市农村信用社合作联社兰石信用社
0\193.png	广东省吴川市/县
0\194.png	现金
0\195.png	吴川市农村信用合作联社振文信用社
0\196.png	顺德容桂支行在行自助单点24小时自助银行
0\197.png	惠州侨兴离行式自助银行离行自助银行24小时自助银行
0\198.png	化州农商行
0\199.png	寮步支行在行自助银行24小时自助银行
0\200.png	怀集农商行
0\201.png	梅华支行在行自助银行24小时自助银行
0\202.png	辽宁省大连市/县
0\203.png	业务款
0\204.png	广东大埔农村商业银行义招路分理处
0\205.png	小金口街道工业区东侧金山电装公司
0\206.png	饲料款
0\207.png	(大写)壹佰柒拾陆元整
0\208.png	龙川支行在行自助银行24小时自助银行
0\209.png	叁拾万元整
0\210.png	汕头市澄海农村信用合作联社蓬中信用分社
0\211.png	广东省东莞市/县
0\212.png	(大写)壹仟壹佰元整
0\213.png	光复路在行自助银行24小时自助银行
0\214.png	广东省茂名市/县
0\215.png	肆拾捌万元整
0\216.png	雷州市融媒体中心
0\217.png	肇庆农商行
0\218.png	雷州农商行
0\219.png	广东省深圳市/县
0\220.png	存钱
0\221.png	石碣铭异精密电子厂离行自助单点24小时自助银行
0\222.png	广东省深圳市/县
0\223.png	阳春市中建矿产有限么司
0\224.png	中山市三乡镇鸟石经济联合社
0\225.png	英德市浈阳峡生态旅游度假有限公司
0\226.png	肇庆市高要区金利镇中心小学饭堂
0\227.png	(大写)陆佰零壹元整
0\228.png	洪岗分理处
0\229.png	龙川县农村信用合作社联合社隆东分社
0\230.png	云浮农商银行腰古支行
0\231.png	肇庆农商行
0\232.png	存款
0\233.png	望牛墩支行在行自助银行24小时自助银行
0\234.png	揭东市揭东区联兴物业管理有限公司
0\235.png	(大写)壹仟肆佰捌拾伍元正
0\236.png	高明杨和杜鹃离行自助单点24小时自助银行
0\237.png	叁拾伍万正
0\238.png	佛山农商银行大江支行
0\239.png	农业银行
0\240.png	(大写)壹拾伍元正
0\241.png	中心幼儿园伙食费
0\242.png	平安银行中电支行
0\243.png	(大写)壹拾伍元正
0\244.png	租金
0\245.png	广东省江门市/县
0\246.png	营业收入
0\247.png	(大写)壹万捌仟捌佰元正
0\248.png	中国银行
0\249.png	深圳宝安支行ATM(自助银行)
0\250.png	英德市英州红茶业有限公司
0\251.png	(大写)贰万捌仟零伍拾玖元捌角正
0\252.png	农商行
0\253.png	归还贷款
0\254.png	广东省肇庆市/县
0\255.png	汕头市澄海农村信用合作联社南砂信用分社
0\256.png	广东省台山市/县
0\257.png	南海农商银行
0\258.png	营业款
0\259.png	坭陂支行
0\260.png	深南大道2008号凤凰大厦2号楼一层
0\261.png	广东省深圳市/县
0\262.png	广东省珠海市/县
0\263.png	绒花路帝港海湾豪园城市3米6公寓一楼
0\264.png	麦地南支行在行自助银行24小时自助银行
0\265.png	佛山市农业银行
0\266.png	揭西县蓝环种养专业合作社
0\267.png	中国工商银行阳江分行
0\268.png	珠海农商银行梅溪支行
0\269.png	购物
0\270.png	南海农商银行
0\271.png	现金
0\272.png	现金
0\273.png	揭西县蓝环种养专业合作社
0\274.png	销售款
0\275.png	金额(大写)捌万肆仟壹佰叁拾伍元陆角
0\276.png	江门市澳华生物科技有限公司
0\277.png	(大写)肆万肆仟陆佰零柒元贰角陆分
0\278.png	英德农商行
0\279.png	现金
0\280.png	南桂西离行自助银行24小时自助银行
0\281.png	现金
0\282.png	(大写)壹万肆仟伍佰陆拾元正
0\283.png	红岭支行在行自助单点24小时自助银行
0\284.png	(大写)壹万捌仟贰佰贰拾伍元整
0\285.png	(大写)柒仟贰佰元整
0\286.png	江西南昌
0\287.png	新丰县第三幼儿园
0\288.png	广东省茂名市/县
0\289.png	佛山市南海区桂城平南幼儿园
0\290.png	广西省梧州市/县
0\291.png	罗定农商银行围底支行
0\292.png	贰仟零叁拾捌元肆角正
0\293.png	建行台山富华支行
0\294.png	丰顺农商银行留隍支行
0\295.png	广东省肇庆市/县
0\296.png	白云机场4离行自助单点24小时自助银行
0\297.png	肇庆市高要区金利中学饭堂
0\298.png	备注：货款
0\299.png	阳江农商行新洲支行
0\300.png	浙江省杭州市/县
0\301.png	中山大道190号骏景花园南苑骏霖轩C座115号铺
0\302.png	(大)贰仟伍佰元正
0\303.png	芹田支行在行自助银行24小时自助银行
0\304.png	壹万元整
0\305.png	工商银行泉州市东海支行
0\306.png	德庆农商银行播植支行
0\307.png	8.30病人卡充值款
0\308.png	农行深圳市人民北路支行
0\309.png	松岗街道塘下涌村工业大道98号一楼
0\310.png	(大写)柒佰壹拾陆元整
0\311.png	信宜市农村信用合作联社贵子信用社
0\312.png	白云机场离行自助银行24小时自助银行
0\313.png	住宿生伙食费
0\314.png	广东博罗农村商业银行礼村分理处
0\315.png	广东省深圳市/县
0\316.png	徐闻县农商行西连支行
0\317.png	东源县黄田填广通不锈钢工程部
0\318.png	(大写)伍万零陆佰伍拾肆元肆角整
0\319.png	鹤山农商银行
0\320.png	附加信息及用途缴款
0\321.png	中山农商银行
0\322.png	交通银行新兴支行
0\323.png	布吉街道罗岗信义假日名城沁芳园裙楼商铺
0\324.png	丰国医院离行自助单点24小时自助银行
0\325.png	怀分圩尾店8月日营业款
0\326.png	广东省电白市/县
0\327.png	新兴县筋竹镇榄根村民委员会丹坑村民小组
0\328.png	广东省连州市/县
0\329.png	垃圾费
0\330.png	佛山市三水区人民医院
0\331.png	中深花园支行在行自助银行24小时自助银行
0\332.png	农行红旗支行
0\333.png	新兴县稔村财政所代管资金财政专户
0\334.png	(大写)叁仟伍佰玖拾贰元柒角正
0\335.png	开平农商银行
0\336.png	清远市清新区农村信用合作联社南冲分社
0\337.png	火车南站2离行自助单点24小时自助银行
0\338.png	9月份党费
0\339.png	广东省遂溪县第一中丝
0\340.png	清远市清新区农村信用合作联社回兰分社
0\341.png	广东博罗农村商业银行新丰分理处
0\342.png	免税商场离行自助单点24小时自助银行
0\343.png	宝民一路62号公路局大楼一、二楼
0\344.png	江门农商银行
0\345.png	广东天禾农资清远农业科技服务有限公司
0\346.png	农行广州登峰支行
0\347.png	中山农商联行
0\348.png	村干部养老保险(2021)第二季
0\349.png	东坑支行在行自助银行24小时自助银行
0\350.png	佛山市南海（烟草）经济发展有根公司
0\351.png	骏升科技城离行自助单点24小时自助银行
0\352.png	广东省清新市/县
0\353.png	中国人寿财产保险股份有限公司阳江中心支公司
0\354.png	龙岗街道南约宝龙工业区比亚迪内
0\355.png	信宜支行在行自助银行24小时自助银行
0\356.png	(大写)柒伯伍拾元正
0\357.png	(大写)壹仟叁佰叁拾玖元整
0\358.png	叁万伍仟壹佰叁拾捌元肆角整
0\359.png	肇庆农商行
0\360.png	佛山农商行
0\361.png	四会市城中街道城北幼儿园
0\362.png	宝华路支行在行自助单点24小时自助银行
0\363.png	收款行地点广东省阳江市/县
0\364.png	备注：货款
0\365.png	佛山农商银行大江支行
0\366.png	罗江支行
0\367.png	广东省潮阳市/县
0\368.png	四会农商银行城区支行
0\369.png	广东省肇庆市/县
0\370.png	备注：2021年度第一学期伙食费
0\371.png	潮阳农商行
0\372.png	国工商银行云浮分行
0\373.png	翠宝大厦1离行自助单点24小时自助银行
0\374.png	壹拾万元正
0\375.png	博罗农商银行
0\376.png	顺德勒流支行在行自助银行24小时自助银行
0\377.png	清远市清新区农村信用合作联社营业部
0\378.png	款项来源营业收入
0\379.png	村干部养老保险(2021)第二季
0\380.png	建行江门市棠下支行
0\381.png	邮政储蓄银行围底去行
0\382.png	水口支行在行自助银行24小时自助银行
0\383.png	农行广州登峰支行
0\384.png	汕头市澄海农村信用合作联社海北信用分社
0\385.png	佛山农商行
0\386.png	肇庆市高要区金利镇中心小学饭堂
0\387.png	台山分行营业部在行自助银行24小时自助银行
0\388.png	乳源农商行
0\389.png	乳源瑞旅自治县桂头镇中心小学
0\390.png	英德农商行
0\391.png	佛山农商银行
0\392.png	中海怡美离行自助银行24小时自助银行
0\393.png	中山市板芙镇板芙村东二队经济合作社
0\394.png	陈江支行在行自助银行24小时自助银行
0\395.png	贰拾伍万元正
0\396.png	广东省珠海市/县
0\397.png	广州青年路支行在行自助单点24小时自助银行
0\398.png	赣州联多利料科技有汉公司
0\399.png	汕头市澄海农村信用合作联社前美信用分社
0\400.png	梅州农商银行
0\401.png	(大写)叁万捌仟陆佰捌拾捌元整
0\402.png	(大写)肆佰伍拾捌元贰角整
0\403.png	雷州市商业银行
0\404.png	清远市清新区农村信用合作联社白湾分社
0\405.png	揭东农商行
0\406.png	自筹款
0\407.png	高丰溢达离行自助单点24小时自助银行
0\408.png	罗定农商银行
0\409.png	化州忠信广场离行自助银行24小时自助银行
0\410.png	店租
0\411.png	广东普宁汇成村镇银行里湖支行
0\412.png	开平农商行
0\413.png	拱北支行在行自助银行24小时自助银行
0\414.png	大埔农商行
0\415.png	广东省肇庆市/县
0\416.png	张槎安东尼离行自助单点24小时自助银行
0\417.png	广东省清远市/县
0\418.png	开平农商银行
0\419.png	广东水利电力技术学院离行自助单点24小时自助银行
0\420.png	肇庆市高要区金利中学饭堂
0\421.png	肇庆农商行
0\422.png	肇庆市高要区金利中学饭堂
0\423.png	小市支行在行自助银行24小时自助银行
0\424.png	佛山农商银行
0\425.png	建设银行东莞分行营业部
0\426.png	龙川县农村信用合作社联合社营业部
0\427.png	梅州农商银行营业部归还贷款
0\428.png	阳江农商银行新洲支行
0\429.png	桂湖轩绿化树款
0\430.png	广东省珠海市/县
0\431.png	备注：中一班
0\432.png	三丫分理处
0\433.png	开平市国顺公共交通有限公司
0\434.png	文华路支行在行自助单点在行自助单点24小时自助银行
0\435.png	南海农商银行里水支行
0\436.png	广东省汕头市/县
0\437.png	广东省阳江市/县
0\438.png	货款
0\439.png	广东省雷州市/县
0\440.png	中国邮政储蓄银行丰顺县支行
0\441.png	(大写)肆仟伍佰元
0\442.png	(大写)贰拾壹元零贰分
0\443.png	迎宾支行在行自助银行24小时自助银行
0\444.png	茂名农业银行电城支行
0\445.png	播扬农商行
0\446.png	货款
0\447.png	桥头日新传导科技公司离行自助单点24小时自助银行
0\448.png	雷州市商业银行
0\449.png	贷款
0\450.png	广东省台山市/县
0\451.png	广东省雷州市/县
0\452.png	惠阳7日酒店自助离行自助银行24小时自助银行
0\453.png	水晶堡离行自助单点24小时自助银行
0\454.png	往来款
0\455.png	保教费、伙食费
0\456.png	杏坛离行自助银行24小时自助银行
0\457.png	江门农商行司前支行
0\458.png	石岐支行在行自助银行24小时自助银行
0\459.png	广东博罗农村商业银行义合分理处
0\460.png	汕头市澄海农村信用合作联社外埔信用分社
0\461.png	(大写)陆佰壹拾元整
0\462.png	粤宝汽车离行自助单点24小时自助银行
0\463.png	汕头市澄海农村信用合作联社上岱信用分社
0\464.png	嘉湖支行在行自助银行24小时自助银行
0\465.png	(大写)贰佰柒拾元整
0\466.png	创业路离行自助银行24小时自助银行
0\467.png	始兴农商行隘子支行
0\468.png	蛇口中农离行自助银行24小时自助银行
0\469.png	佛山市南海区大沥镇水头社区镇西股份经济合作社
0\470.png	珠海农商行
0\471.png	广东省珠海市/县
0\472.png	东区技师学院离行自助单点24小时自助银行
0\473.png	广东博罗农村商业银行里波水分理处
0\474.png	汕头市澄海农村信用合作联社大衙信用分社
0\475.png	观澜街道竹村观澜大道时景工业区
0\476.png	博罗农商银行平安分理处
0\477.png	河源职院自助单点离行自助单点24小时自助银行
0\478.png	台山农商行大江支行
0\479.png	柒万伍仟元整
0\480.png	广东清新农村商业银行股份有限公司
0\481.png	壹万元整
0\482.png	(大写)壹仟壹佰贰拾捌元正
0\483.png	梅州农商银行营业部归还贷款
0\484.png	广东省佛山市/县
0\485.png	平远县农村信用合作联社超竹分社
0\486.png	乐昌农商行
0\487.png	阳春市岗美镇黄塘村民委员会
0\488.png	新丰县第三幼儿园
0\489.png	开平市蚬冈镇蚬南村水背经济合作社
0\490.png	区府离行自助银行24小时自助银行
0\491.png	新发支行在行自助单点24小时自助银行
0\492.png	收房款
0\493.png	(大写)肆万元正
0\494.png	购房款
0\495.png	中国工商银行阳江分行
0\496.png	叁万肆仟零壹拾壹元陆角壹分
0\497.png	肇庆农商行
0\498.png	建设银行深圳西丽支行
0\499.png	南山支行在行自助银行24小时自助银行
0\500.png	下帅乡教育经费收支财务结算中心
0\501.png	顺德分行营业部在行自助银行24小时自助银行
0\502.png	珠海农商银行造贝支行
0\503.png	白云机场8离行自助单点24小时自助银行
0\504.png	中海怡翠离行自助银行24小时自助银行
0\505.png	北环街1离行自助单点24小时自助银行
0\506.png	英德农商行
0\507.png	(大写)叁仟陆伯元正
0\508.png	投庙塘款
0\509.png	肇庆农商行
0\510.png	广东省肇庆市/县
0\511.png	平远县农村信用合作联社泗水信用社
0\512.png	肇庆市高要区禄步镇初级中学饭堂
0\513.png	(大写)壹仟柒佰壹拾伍元正
0\514.png	(大写)贰佰柒拾元整
0\515.png	揭阳市揭东区联兴物业管理有限公司
0\516.png	龙岗街道深惠路864号农行大厦
0\517.png	沙溪支行在行自助银行24小时自助银行
0\518.png	佛山市三水区人民医院
0\519.png	中国银行水口支行
0\520.png	壹拾万元正
0\521.png	广东省佛冈市/县
0\522.png	壹仟柒佰柒拾肆元整
0\523.png	肇庆市端州区黄岗街道稔塘股份经济合作社
0\524.png	金鼎会同燕子铺(北师大珠海校区生活区一栋首层)
0\525.png	备注：大三班
0\526.png	广州市金宏利物业服务有限公司英德分公
0\527.png	平陵农商行
0\528.png	神湾庆谊离行自助单点24小时自助银行
0\529.png	广东省地质局七五七地质大队西南
0\530.png	(大写)贰仟柒佰捌拾元伍角正
0\531.png	城区支行离行自助银行24小时自助银行
0\532.png	仪食费
0\533.png	壹万肆仟叁佰零伍元整
0\534.png	工程款
0\535.png	乳源瑶族自治县桂头镇中心小学
0\536.png	江门农商行茶坑支行
0\537.png	旺角百货离行自助单点24小时自助银行
0\538.png	广西自治区南宁市/县
0\539.png	广东阳春农村商业银行新街分理处
0\540.png	(大写)壹仟陆佰柒拾壹元捌角正
0\541.png	燕岭自助银行离行自助银行24小时自助银行
0\542.png	广东清新农村商业银行股份有限公司
0\543.png	五一营业款1号
0\544.png	五华农商行
0\545.png	(大写)肆仟元正
0\546.png	龙华街道富士康工业园L区宿舍1楼
0\547.png	开平农商银行
0\548.png	大亚湾支行在行自助银行24小时自助银行
0\549.png	四会市城中街道城北幼儿园
0\550.png	新仲恺支行在行自助银行24小时自助银行
0\551.png	(大写)壹仟肆佰叁拾元整
0\552.png	壹仟柒佰元正
0\553.png	中行杜阮支行
0\554.png	备注：医保(53.8/月)缴费时间：2021年9月01日-2022年06月30日止共10个月
0\555.png	(大写)玖万玖仟贰佰元整
0\556.png	瑞达工地材料费
0\557.png	安心贷保费
0\558.png	壹万贰仟玖佰伍拾元
0\559.png	农业银行
0\560.png	凤岗镇教育经费收支财务结算中心
0\561.png	存款
0\562.png	肇庆农商行
0\563.png	东源农商银行黄田支行
0\564.png	(大写)叁万陆仟捌佰元整
0\565.png	工商银行云浮分行
0\566.png	汕头市澄海农村信用合作联社下窑信用分社
0\567.png	(大写)贰仟元正
0\568.png	四会市澳华饲料有限公司
0\569.png	广东省珠海市/县
0\570.png	(大写)陆仟肆佰玖拾壹元整
0\571.png	备注：医保(53.8/月)缴费时间：2021年9月01日-2022年06月30日止共10个月
0\572.png	农行南海区大沥兴海支行
0\573.png	广东省湛江市/县
0\574.png	壹拾玖万伍仟元整
0\575.png	中国人寿保险股份有限公司茂名分公司
0\576.png	现金
0\577.png	现金
0\578.png	英德市沙口镇高桥村民委员会
0\579.png	业务款
0\580.png	新美百货2离行自助单点24小时自助银行
0\581.png	新塘解放路支行在行自助银行24小时自助银行
0\582.png	往来款
0\583.png	新塘镇大敦开发区C区C1-1号
0\584.png	中国建设银行阳江石湾南支行
0\585.png	中国农业银行九江支行
0\586.png	中山支行在行自助银行24小时自助银行
0\587.png	阳春农商银行岗美支行
0\588.png	迎宾支行在行自助银行24小时自助银行
0\589.png	8.25收入款
0\590.png	肇庆农商银行东岗支行
0\591.png	揭阳农商行
0\592.png	收房款配套费
0\593.png	生活费
0\594.png	分配款
0\595.png	茂名农商银行
0\596.png	贷款
0\597.png	广东大埔农村商业银行城中分理处
0\598.png	精益家具厂离行自助单点24小时自助银行
0\599.png	广东省珠海市/县
0\600.png	贰万零柒佰柒拾叁元陆角壹分
0\601.png	广东省佛山市/县
0\602.png	封开农商银行
0\603.png	广东省揭阳市/县
0\604.png	肇庆农商行
0\605.png	珠江新城支行在行自助银行24小时自助银行
0\606.png	中国银行股份有限公司江门分行
0\607.png	奥园广场支行在行自助银行24小时自助银行
0\608.png	往来
0\609.png	广东省深圳市/县
0\610.png	中山农商银行
0\611.png	工行茂名分行营业部
0\612.png	胡忠医院离行自助单点24小时自助银行
0\613.png	陆丰农高行碣石支行
0\614.png	四川省巴中市/县
0\615.png	备注：垃圾清运费
0\616.png	四会支行在行自助银行24小时自助银行
0\617.png	肇庆农商行
0\618.png	广东博罗农村商业银行罗浮山分理处
0\619.png	龙川农商行
0\620.png	茂名农商银行公馆支行
0\621.png	开平市三华街簕冲村大塘经济合作社
0\622.png	云浮市云城区南盛镇料洞村民委员会
0\623.png	顺德区农行碧桂园支行
0\624.png	备注：三顷八下围10号鱼塘押金
0\625.png	开平农商银行
0\626.png	佛冈农商银行
0\627.png	壹拾万元整
0\628.png	装修
0\629.png	广东省罗定市/县
0\630.png	广东省丰顺市/县
0\631.png	坳仔镇教育经费收支财务结算中心
0\632.png	大浪街道华旺路新水围新村16号
0\633.png	翁源农商银行
0\634.png	广东阳春农村商业银行新市分理处
0\635.png	四市澳华饲料有限公司
0\636.png	博罗县卫生系统财务集中结算中心
0\637.png	汕头市澄海农村信用合作联社埔美信用分社
0\638.png	中山农商银行板芙支行
0\639.png	还款
0\640.png	广西省玉林市/县
0\641.png	广东省东莞市/县
0\642.png	广东省罗定市/县
0\643.png	肇庆市高要区金利镇初级中学饭堂
0\644.png	五桂山岭东上筑离行自助单点24小时自助银行
0\645.png	(大写)叁佰壹拾柒元壹角整
0\646.png	虎门镇新联社区新泰源购物广场内
0\647.png	茂名农商银行望夫支行
0\648.png	金额(大写)伍仟伍佰元整
0\649.png	2013届小胜中学校友捐款数育基金
0\650.png	广东大埔农村商业银行三黎分理处
0\651.png	松山湖北部工业园离行自助银行24小时自助银行
0\652.png	广东省雷州市/县
0\653.png	花生款
0\654.png	开平农商行
0\655.png	台山农商行大江支行
0\656.png	茂名市城区农村商业银行
0\657.png	平安银行龙华支行
0\658.png	阳春市中建矿产有限么司
0\659.png	备注：2021年度第一学期伙食费
0\660.png	广东省广州市/县
0\661.png	会城镇西园新村1座8号8-1号
0\662.png	绿瘦公司1离行自助单点24小时自助银行
0\663.png	汕头市澄海农村信用合作联社溪南信用社
0\664.png	龙洞支行在行自助银行24小时自助银行
0\665.png	遂溪农商银行
0\666.png	翔丰广场自助点离行自助单点24小时自助银行
0\667.png	佛山农商银行
0\668.png	中国工商银行
0\669.png	揭阳支行营业部在行自助单点24小时自助银行
0\670.png	(大写)柒仟零贰拾柒元正
0\671.png	吴川市农村信用合作联社覃巴信用社
0\672.png	黄圃技师学院离行自助单点24小时自助银行
0\673.png	中国农业银行云浮市分行
0\674.png	始兴农商行隘子支行
0\675.png	佛山市三水区人民医院
0\676.png	(大写)壹仟壹佰元整
0\677.png	汕头市澄海农村信用合作联社李厝信用分社
0\678.png	坝仔农商银行
0\679.png	广东省珠海市/县
0\680.png	前山金鸡路金航街1号格力生活区
0\681.png	广东博罗农村商业银行东林分理处
0\682.png	阳江农村商业银行
0\683.png	福田支行在行自助银行24小时自助银行
0\684.png	(大写)伍仟陆佰柒拾壹元陆角捌分
0\685.png	招商银行狮山支行
0\686.png	(大写)伍件捌佰玖拾捌元正
0\687.png	工商银行
0\688.png	(大)贰仟伍佰元正
0\689.png	佛山农商行
0\690.png	新兴县大江镇中心小学
0\691.png	广东省佛山市/县
0\692.png	业务款
0\693.png	广东省佛山市/县
0\694.png	光明新区公明街道南环路下村第六工业区8号正方电子
0\695.png	阳春农商银行
0\696.png	朝阳支行在行自助银行24小时自助银行
0\697.png	广东省佛山市/县
0\698.png	广东省和平市/县
0\699.png	平远县农村信用合作联社仁居信用社
0\700.png	治然房地产(福建)有限公司
0\701.png	业务款
0\702.png	茂名农商银行
0\703.png	常平镇中国银行分行
0\704.png	道窑搜于特服装公司离行自助单点24小时自助银行
0\705.png	贰万元整
0\706.png	(大写)壹仟元整
0\707.png	中国工商银行广东省分行
0\708.png	宏康数码电脑城离行自助单点24小时自助银行
0\709.png	顺德区农村商业银行陈村青云分理处
